Produto,Preco,Site,Dia,Mes,Ano
Borracha Branca Mercur Record 20,"R$1
99",Amazon,3,8,2023
Borracha Oval Color - Mercur,"R$1
99",Amazon,3,8,2023
"Lápis Preto Sextavado com Borracha N.2 West Village Branco Tilibra, 1 Unidade","R$8
73",Amazon,3,8,2023
"Régua, Acrimet, Poliestireno, Transparente, 15 cm, Unidade","R$2
23",Amazon,3,8,2023
Borracha Branca Oval Mercur,"R$2
42",Amazon,3,8,2023
Limpador Multiuso Bactericida PROAUTO 200 ml,"R$22
22",Amazon,3,8,2023
"Borracha Branca Macia, Mercur, Record 40, 3 unidades",Escolha da Amazon,Amazon,3,8,2023
Borracha Mercur Record 40 Color Branca/Lilás/Azul Pack com 3 Unidades B01010301059 28189,"R$2
52",Amazon,3,8,2023
Borracha Cartela Com 2Un Branca Soft,"R$2
62",Amazon,3,8,2023
Borracha Dust Free Pequena Branca - Faber Castell,"R$2
70",Amazon,3,8,2023
"Borracha Ponteira, Mercur, B01010301014, Branca, Blister com 6 Unidades","R$2
80",Amazon,3,8,2023
Borracha Branca Pequena Capa em Tons Pasteis Ref.7024MAR Faber-Castell,"R$11
20",Amazon,3,8,2023
Borracha Faber Castell FC Max Rosa,"R$10
47",Amazon,3,8,2023
BORRACHA BRANCA DECORADA STAR WARS TRIS,"R$2
90",Amazon,3,8,2023
Corretivo Líquido Ecolutions 18ml água Bic,"R$2
95",Amazon,3,8,2023
"Borracha Pequena Comum Faber Castell, Multicor","R$9
55",Amazon,3,8,2023
"Borracha, Maped, Essentials Soft, 122810, Branca","R$3
39",Amazon,3,8,2023
Borracha Hi-Polymer Soft 1 unid - Pentel,"R$17
90",Amazon,3,8,2023
"Borracha Branca, Mercur, Record 20, 2 Unidades","R$3
99",Amazon,3,8,2023
Borracha Retangular Bicolor VA Prima Mercur,"R$3
99",Amazon,3,8,2023
BORRACHA DUST FREE BRANCA MÉDIA 60X20MM FABER CASTELL FABER CASTELL,"R$4
70",Amazon,3,8,2023
Borracha Mercur Flash Branca/Rosa Pull Pack B01010301054 26409,"R$4
26",Amazon,3,8,2023
"Borracha Branca Pequena com Cinta Plástica, Faber-Castell, FC Max, OF/7024N, Caixa com 24 Unidades","R$62
40",Amazon,3,8,2023
"Borracha Grande com Cinta Plástica, Faber-Castell, FC Max, SM/107012, 56mm, Branca",Mais vendido,Amazon,3,8,2023
"Borracha Super Soft 24 Unidades, Faber-Castell, Preto","R$117
13",Amazon,3,8,2023
"Borracha Colorida, Mercur, Tr Graffi, Preta, Com Capa, Blister com 2","R$6
99",Amazon,3,8,2023
"Régua, Trident, OP-10, Branco, 10 cm","R$4
78",Amazon,3,8,2023
"Borracha Colorida, Mercur, Nº 2, Prima, Blister com 3","R$4
99",Amazon,3,8,2023
"Borracha Tk Plástico, Branco, Grande, Faber-Castell","R$5
95",Amazon,3,8,2023
"Borracha, Mercur, B01010301010, Clean, Pull Pack, Verde","R$4
90",Amazon,3,8,2023
"Borracha B20 GD, Staedtler, 526 B20 02, Rasoplast","R$20
65",Amazon,3,8,2023
Borracha Stabilo Legend Grande 1198 1198,"R$4
90",Amazon,3,8,2023
"Borracha Escolar Spot Color CIS, Blister com 2 unidades, Multicor",Mais vendido,Amazon,3,8,2023
Borracha Cake TRIS com Cheirinho (Roxa),"R$5
40",Amazon,3,8,2023
Borracha Branca Record Mercur,"R$5
50",Amazon,3,8,2023
Borracha Faber Castell Super Soft Preta,"R$11
63",Amazon,3,8,2023
"Borracha Tk Plástico, Multicor/Neon, Pequeno, Faber-Castell","R$5
00",Amazon,3,8,2023
"Borracha Colorida Mercur, Pacote com 2 unidades, B01010301005, Branco","R$5
49",Amazon,3,8,2023
"Borracha, Trident, Soft-Pb, Branca, Pequena","R$5
50",Amazon,3,8,2023
"Régua, Trident, TR-10, Incolor, 10 cm","R$5
68",Amazon,3,8,2023
"Borracha Dust Free, Faber-Castell, SM/187129, Branca",Mais vendido,Amazon,3,8,2023
